"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0046034","GO:0046034","ATP metabolic process","2/3","241/18860",0.00829875518672199,52.1715076071923,10.084217745131,0.000483731309929252,0.000811977555952673,7.27415503653011e-05,"MT-ND1/MT-ND6",2
"GO:0009205","GO:0009205","purine ribonucleoside triphosphate metabolic process","2/3","264/18860",0.00757575757575758,47.6262626262626,9.62291073817596,0.000580202120852986,0.000940327575175529,8.42398723561504e-05,"MT-ND1/MT-ND6",2
"GO:0009144","GO:0009144","purine nucleoside triphosphate metabolic process","2/3","271/18860",0.00738007380073801,46.3960639606396,9.49420244718855,0.000611285650755658,0.000940476307494422,8.42531966400378e-05,"MT-ND1/MT-ND6",2
"GO:0072522","GO:0072522","purine-containing compound biosynthetic process","2/3","273/18860",0.00732600732600733,46.0561660561661,9.45833223106839,0.000620314160262278,0.000940476307494422,8.42531966400378e-05,"MT-ND1/MT-ND6",2
"GO:0009141","GO:0009141","nucleoside triphosphate metabolic process","2/3","287/18860",0.00696864111498258,43.8095238095238,9.21772979177446,0.000685347758140709,0.00100660451976917,9.01773365974618e-05,"MT-ND1/MT-ND6",2
"GO:1901293","GO:1901293","nucleoside phosphate biosynthetic process","2/3","332/18860",0.00602409638554217,37.8714859437751,8.54927069241423,0.000916074215377068,0.00130471176129461,0.000116883472456404,"MT-ND1/MT-ND6",2
"GO:0009150","GO:0009150","purine ribonucleotide metabolic process","2/3","364/18860",0.00549450549450549,34.5421245421245,8.15053295390463,0.00110020903179497,0.0015208771910107,0.000136248796507117,"MT-ND1/MT-ND6",2
"GO:0009259","GO:0009259","ribonucleotide metabolic process","2/3","385/18860",0.00519480519480519,32.6580086580087,7.91599282392211,0.00123007738052428,0.00165181819670403,0.000147979233747282,"MT-ND1/MT-ND6",2
"GO:0019693","GO:0019693","ribose phosphate metabolic process","2/3","392/18860",0.00510204081632653,32.0748299319728,7.84197616816322,0.00127495349028702,0.00166452261231916,0.000149117367285031,"MT-ND1/MT-ND6",2
"GO:0007005","GO:0007005","mitochondrion organization","2/3","417/18860",0.00479616306954436,30.1518784972022,7.59280850100554,0.00144168883219277,0.00183133446251514,0.000164061318030471,"MT-ND1/MT-ND6",2
"GO:0006163","GO:0006163","purine nucleotide metabolic process","2/3","454/18860",0.00440528634361234,27.6945668135095,7.26197504871465,0.00170694408838048,0.00211122031983902,0.000189135079044929,"MT-ND1/MT-ND6",2
"GO:0033194","GO:0033194","response to hydroperoxide","1/3","20/18860",0.05,314.333333333333,17.683360656627,0.00317813205941575,0.00383005658442411,0.000343118171057031,"MT-ND1",1
"GO:0006123","GO:0006123","mitochondrial electron transport, cytochrome c to oxygen","1/3","23/18860",0.0434782608695652,273.333333333333,16.483237187839,0.00365427029721743,0.00429376759923048,0.000384660031286046,"MT-CO3",1
"GO:0008535","GO:0008535","respiratory chain complex IV assembly","1/3","31/18860",0.032258064516129,202.795698924731,14.1828262245192,0.00492323095752167,0.00564370378057363,0.00050559496354523,"MT-CO3",1
"GO:0017004","GO:0017004","cytochrome complex assembly","1/3","44/18860",0.0227272727272727,142.878787878788,11.8840320015248,0.00698299327033691,0.00781430199299607,0.000700049450660342,"MT-CO3",1
